grade,sub_grade,loan_status,purpose
B,B2,Fully Paid,credit_card
C,C4,Charged Off,car
C,C5,Fully Paid,small_business
C,C1,Fully Paid,other
B,B5,Fully Paid,other
A,A4,Fully Paid,wedding
C,C5,Fully Paid,debt_consolidation
E,E1,Fully Paid,car
F,F2,Charged Off,small_business
B,B5,Charged Off,other
C,C3,Fully Paid,debt_consolidation
B,B5,Fully Paid,debt_consolidation
C,C1,Charged Off,debt_consolidation
B,B1,Fully Paid,credit_card
B,B2,Charged Off,other
D,D1,Fully Paid,debt_consolidation
C,C4,Fully Paid,home_improvement
A,A1,Fully Paid,major_purchase
B,B3,Fully Paid,medical
A,A1,Fully Paid,debt_consolidation
C,C4,Fully Paid,debt_consolidation
B,B4,Charged Off,debt_consolidation
B,B3,Fully Paid,credit_card
B,B3,Fully Paid,debt_consolidation
B,B3,Charged Off,major_purchase
B,B1,Fully Paid,credit_card
C,C2,Charged Off,debt_consolidation
D,D2,Charged Off,other
B,B3,Fully Paid,debt_consolidation
B,B3,Fully Paid,credit_card
A,A3,Fully Paid,debt_consolidation
A,A4,Fully Paid,debt_consolidation
C,C5,Fully Paid,debt_consolidation
A,A5,Fully Paid,debt_consolidation
C,C5,Fully Paid,credit_card
B,B2,Fully Paid,credit_card
B,B1,Fully Paid,moving
A,A4,Fully Paid,debt_consolidation
B,B4,Fully Paid,debt_consolidation
B,B5,Fully Paid,debt_consolidation
A,A3,Fully Paid,other
A,A4,Fully Paid,debt_consolidation
D,D5,Fully Paid,other
D,D2,Fully Paid,debt_consolidation
A,A1,Fully Paid,debt_consolidation
B,B1,Fully Paid,small_business
A,A5,Charged Off,debt_consolidation
B,B2,Fully Paid,other
A,A1,Fully Paid,credit_card
B,B1,Charged Off,other
